id,FPR_log,DET_log
1,-10.4869593663,-1.8891875203
2,-10.4869593663,-1.8952371455
3,-10.4869593663,-1.8976672803
4,-10.4869593663,-1.9001033351
5,-9.7938121857,-1.9025453388
6,-9.7938121857,-1.9049933204
7,-9.7938121857,-1.9062195622
8,-9.7938121857,-1.9086765659
9,-9.7938121857,-1.9099073352
10,-9.7938121857,-1.9123734277
11,-9.7938121857,-1.9210529615
12,-9.7938121857,-1.9247959477
13,-9.7938121857,-1.9285529966
14,-9.7938121857,-1.9310655607
15,-9.7938121857,-1.9310655607
16,-9.7938121857,-1.9348462836
17,-9.7938121857,-1.9361097076
18,-9.7938121857,-1.9373747299
19,-9.7938121857,-1.941179427
20,-9.7938121857,-1.9437239576
21,-9.7938121857,-1.9462749794
22,-9.7938121857,-1.9526811512
23,-9.7938121857,-1.9552551552
24,-9.7938121857,-1.9578358018
25,-9.7938121857,-1.9591286268
26,-9.7938121857,-1.9643167059
27,-9.7938121857,-1.9682255057
28,-9.7938121857,-1.9695318416
29,-9.7938121857,-1.9708398862
30,-9.7938121857,-1.9721496441
31,-9.7938121857,-1.977405898
32,-9.3883470776,-1.9840153074
33,-9.3883470776,-1.9880020236
34,-9.1006650052,-1.9906686919
35,-9.1006650052,-1.9987116307
36,-9.1006650052,-2.0000584322
37,-9.1006650052,-2.0000584322
38,-9.1006650052,-2.0014070501
39,-9.1006650052,-2.0041097545
40,-9.1006650052,-2.0041097545
41,-9.1006650052,-2.0095371762
42,-9.1006650052,-2.0108986468
43,-9.1006650052,-2.0136271614
44,-9.1006650052,-2.0163631413
45,-9.1006650052,-2.0177339434
46,-9.1006650052,-2.0204811979
47,-9.1006650052,-2.024616283
48,-9.1006650052,-2.0259984532
49,-9.1006650052,-2.0315463177
50,-9.1006650052,-2.0371251327
51,-9.1006650052,-2.039926255
52,-9.1006650052,-2.0427352456
53,-9.1006650052,-2.0483770095
54,-9.1006650052,-2.0512098726
55,-9.1006650052,-2.0540507836
56,-9.1006650052,-2.0540507836
57,-9.1006650052,-2.0554742714
58,-9.1006650052,-2.0597569332
59,-9.1006650052,-2.0611885726
60,-9.1006650052,-2.0626222646
61,-9.1006650052,-2.0683776762
62,-9.1006650052,-2.0683776762
63,-9.1006650052,-2.0727160778
64,-9.1006650052,-2.0756188375
65,-9.1006650052,-2.0756188375
66,-9.1006650052,-2.0770733832
67,-9.1006650052,-2.0785300477
68,-9.1006650052,-2.0799888371
69,-9.1006650052,-2.0814497578
70,-9.1006650052,-2.0843780176
71,-8.8775214539,-2.0858453693
72,-8.8775214539,-2.0873148772
73,-8.8775214539,-2.0887865478
74,-8.8775214539,-2.0917364025
75,-8.8775214539,-2.0932145994
76,-8.8775214539,-2.0946949845
77,-8.8775214539,-2.0946949845
78,-8.8775214539,-2.0991493349
79,-8.8775214539,-2.1006385384
80,-8.8775214539,-2.102129963
81,-8.8775214539,-2.1051195019
82,-8.8775214539,-2.1051195019
83,-8.8775214539,-2.1051195019
84,-8.8775214539,-2.1081180049
85,-8.6951998971,-2.1141421195
86,-8.6951998971,-2.1171678404
87,-8.6951998971,-2.1186841409
88,-8.6951998971,-2.1186841409
89,-8.6951998971,-2.1232468865
90,-8.6951998971,-2.1263003239
91,-8.5410492172,-2.1293631135
92,-8.5410492172,-2.1339749587
93,-8.5410492172,-2.1386081716
94,-8.5410492172,-2.1401573586
95,-8.4075178246,-2.1401573586
96,-8.4075178246,-2.1432629512
97,-8.4075178246,-2.1448193717
98,-8.4075178246,-2.1479394991
99,-8.4075178246,-2.149503221
100,-8.4075178246,-2.157358721
101,-8.4075178246,-2.1589372533
102,-8.4075178246,-2.1668675089
103,-8.4075178246,-2.1684611348
104,-8.4075178246,-2.173257307
105,-8.4075178246,-2.1813024027
106,-8.4075178246,-2.1829192179
107,-8.4075178246,-2.1829192179
108,-8.4075178246,-2.1861607119
109,-8.4075178246,-2.1877854076
110,-8.4075178246,-2.1910427395
111,-8.4075178246,-2.1910427395
112,-8.4075178246,-2.1926753929
113,-8.4075178246,-2.1975894077
114,-8.4075178246,-2.1975894077
115,-8.4075178246,-2.2025276893
116,-8.4075178246,-2.2074904787
117,-8.4075178246,-2.2108127409
118,-8.4075178246,-2.2158169215
119,-8.4075178246,-2.2208462699
120,-8.4075178246,-2.2292851385
121,-8.4075178246,-2.2292851385
122,-8.4075178246,-2.2343828556
123,-8.289734789,-2.2360878858
124,-8.289734789,-2.2429372277
125,-8.289734789,-2.2498338067
126,-8.289734789,-2.2550376346
127,-8.289734789,-2.2637713146
128,-8.289734789,-2.2637713146
129,-8.289734789,-2.2690483717
130,-8.289734789,-2.2761280473
131,-8.1843742733,-2.2796867699
132,-8.1843742733,-2.2832582022
133,-8.1843742733,-2.2832582022
134,-8.1843742733,-2.2832582022
135,-8.1843742733,-2.2832582022
136,-8.1843742733,-2.285048713
137,-8.1843742733,-2.285048713
138,-8.1843742733,-2.285048713
139,-8.1843742733,-2.2868424355
140,-8.1843742733,-2.2886393812
141,-8.1843742733,-2.2922429887
142,-8.1843742733,-2.3013092339
143,-8.0890640935,-2.3031323885
144,-8.0890640935,-2.3086218807
145,-8.0890640935,-2.3122983555
146,-8.0890640935,-2.314141674
147,-8.0890640935,-2.3159883966
148,-8.0020527165,-2.3178385358
149,-8.0020527165,-2.3215491152
150,-8.0020527165,-2.3215491152
151,-8.0020527165,-2.3271409285
152,-8.0020527165,-2.3308862512
153,-8.0020527165,-2.3327641861
154,-8.0020527165,-2.3384192435
155,-7.9220100088,-2.3422071269
156,-7.9220100088,-2.3441064627
157,-7.9220100088,-2.3479159911
158,-7.9220100088,-2.3498262113
159,-7.9220100088,-2.3575037922
160,-7.9220100088,-2.3633009099
161,-7.9220100088,-2.3671844099
162,-7.9220100088,-2.3730380852
163,-7.9220100088,-2.3730380852
164,-7.9220100088,-2.3789262278
165,-7.9220100088,-2.3828710061
166,-7.9220100088,-2.3868314073
167,-7.9220100088,-2.3868314073
168,-7.9220100088,-2.3928015743
169,-7.9220100088,-2.394799577
170,-7.9220100088,-2.3968015797
171,-7.9220100088,-2.3988075984
172,-7.9220100088,-2.4008176493
173,-7.9220100088,-2.4028317487
174,-7.9220100088,-2.4028317487
175,-7.9220100088,-2.4048499128
176,-7.9220100088,-2.4048499128
177,-7.9220100088,-2.4088985014
178,-7.8479020367,-2.4129635476
179,-7.7789091652,-2.4129635476
180,-7.7789091652,-2.4129635476
181,-7.7789091652,-2.4129635476
182,-7.7789091652,-2.4211435523
183,-7.7789091652,-2.4231990515
184,-7.7789091652,-2.4252587845
185,-7.7789091652,-2.4293910218
186,-7.7789091652,-2.4293910218
187,-7.7789091652,-2.4314635614
188,-7.714370644,-2.4335404053
189,-7.714370644,-2.4397969429
190,-7.5965876084,-2.4439898212
191,-7.5965876084,-2.4460928714
192,-7.5965876084,-2.4503122869
193,-7.5965876084,-2.4524286898
194,-7.5965876084,-2.4545495814
195,-7.5965876084,-2.4566749807
196,-7.5965876084,-2.458804907
197,-7.5965876084,-2.4609393795
198,-7.5425203871,-2.4609393795
199,-7.5425203871,-2.4609393795
200,-7.5425203871,-2.4630784177
201,-7.5425203871,-2.4673702698
202,-7.5425203871,-2.4716806213
203,-7.5425203871,-2.4738427843
204,-7.5425203871,-2.4781811859
205,-7.5425203871,-2.4803574653
206,-7.5425203871,-2.4825384913
207,-7.5425203871,-2.4869148659
208,-7.5425203871,-2.4913104774
209,-7.5425203871,-2.4935155499
210,-7.5425203871,-2.4979403359
211,-7.5425203871,-2.5001600926
212,-7.5425203871,-2.504614443
213,-7.4424369286,-2.5068490808
214,-7.4424369286,-2.5090887234
215,-7.3959169129,-2.5090887234
216,-7.3959169129,-2.5113333932
217,-7.3514651504,-2.513583113
218,-7.3514651504,-2.5203628
219,-7.3514651504,-2.5226329485
220,-7.3514651504,-2.5226329485
221,-7.3514651504,-2.5249082623
222,-7.3089055359,-2.5249082623
223,-7.3089055359,-2.5294744803
224,-7.3089055359,-2.5294744803
225,-7.2288628283,-2.5294744803
226,-7.2288628283,-2.5294744803
227,-7.1911225003,-2.5317654321
228,-7.1547548561,-2.5386699474
229,-7.1547548561,-2.5409820872
230,-7.1547548561,-2.5432995853
231,-7.1547548561,-2.5479507565
232,-7.1196635363,-2.5502844798
233,-7.0857619846,-2.5526236622
234,-7.0857619846,-2.5573185065
235,-7.0529721618,-2.5620354964
236,-7.0212234635,-2.5620354964
237,-6.9904518048,-2.5739262429
238,-6.9904518048,-2.5763214536
239,-6.9904518048,-2.5787224151
240,-6.9605988417,-2.5787224151
241,-6.9605988417,-2.5787224151
242,-6.9605988417,-2.5835417016
243,-6.9605988417,-2.5859600824
244,-6.9605988417,-2.5908144609
245,-6.9605988417,-2.60059449
246,-6.9605988417,-2.6030545158
247,-6.9316113048,-2.6055206083
248,-6.9316113048,-2.6055206083
249,-6.9034404278,-2.6154462481
250,-6.8760414536,-2.6204462585
251,-6.8760414536,-2.6254713947
252,-6.8760414536,-2.6279934641
253,-6.8493732066,-2.6305219105
254,-6.8493732066,-2.6381458356
255,-6.8493732066,-2.6484023358
256,-6.8493732066,-2.6509829824
257,-6.8233977202,-2.6587651228
258,-6.8233977202,-2.6613726862
259,-6.7980799122,-2.6639870668
260,-6.7980799122,-2.6692364227
261,-6.7980799122,-2.6718714703
262,-6.7980799122,-2.6718714703
