id,same_distance,diff_distance
1,0.18960471,0.48066854
2,0.14761017,0.47901785
3,0.16702422,0.48765537
4,0.17356963,0.5012856
5,0.20050164,0.48372257
6,0.22655484,0.52134895
7,0.19407251,0.48556224
8,0.18562306,0.49529153
9,0.22537598,0.49037942
10,0.17472726,0.47282434
11,0.21182585,0.45559424
12,0.15541528,0.43540528
13,0.18262294,0.45314538
14,0.21436605,0.43812087
15,0.1978883,0.37965167
16,0.19417162,0.41017538
17,0.17861259,0.4399585
18,0.19801536,0.46668273
19,0.20211415,0.4645212
20,0.14909881,0.40339258
21,0.17277679,0.46776742
22,0.14706494,0.51536405
23,0.18438452,0.45802402
24,0.13990241,0.4660567
25,0.16739027,0.53259254
26,0.14678317,0.5370948
27,0.17269228,0.4618932
28,0.18825608,0.48469123
29,0.20254345,0.47752947
30,0.21078166,0.42082718
31,0.18776685,0.38569224
32,0.1358696,0.3428374
33,0.16401936,0.3916098
34,0.15076223,0.40611735
35,0.15632764,0.4125951
36,0.14255613,0.41090325
37,0.17208244,0.41380948
38,0.14054993,0.47160196
39,0.16485234,0.48575482
40,0.15849991,0.47168347
41,0.15444094,0.43271637
42,0.1541589,0.4268066
43,0.16470721,0.4439091
44,0.26358178,0.41808277
45,0.27279282,0.4413541
46,0.27135304,0.44955593
47,0.27480656,0.44106022
48,0.15807876,0.4537372
49,0.16042125,0.45573598
50,0.19102748,0.44092298
51,0.18504815,0.4486802
52,0.18362603,0.4246645
53,0.20280522,0.4245587
54,0.19162592,0.4406486
55,0.19787225,0.40049458
56,0.19178137,0.3974008
57,0.17869964,0.40766272
58,0.21102831,0.38738805
59,0.24291363,0.40836978
60,0.22133636,0.39797372
61,0.30029988,0.38211444
62,0.20470223,0.41036606
63,0.19287731,0.403787
64,0.18960471,0.39173838
65,0.13012345,0.42511877
66,0.11750327,0.4347996
67,0.09118303,0.4227945
68,0.1426937,0.4267186
69,0.14359103,0.44123992
70,0.16460532,0.41734546
71,0.12996438,0.41925946
72,0.1964212,0.4290697
73,0.18194588,0.4306688
74,0.16425891,0.4187023
75,0.17073812,0.43366548
76,0.17170696,0.38516727
77,0.15960334,0.3868903
78,0.14998353,0.37699372
79,0.13734417,0.39567426
80,0.1464664,0.4128226
81,0.13718054,0.3825314
82,0.1533983,0.45189857
83,0.18465361,0.45987368
84,0.16796936,0.45891774
85,0.17125791,0.44915
86,0.19037227,0.43422112
87,0.1720399,0.44316998
88,0.17878437,0.43649864
89,0.19069155,0.44664836
90,0.1980899,0.43093768
91,0.20153484,0.4097818
92,0.19302356,0.404282
93,0.17039366,0.40694472
94,0.21078049,0.4027589
95,0.22995229,0.41160247
96,0.24170674,0.42118058
97,0.24196768,0.42030555
98,0.22877443,0.4001853
99,0.22884068,0.40362728
100,0.23939393,0.39396852
101,0.17495628,0.39299527
102,0.16610782,0.41744772
103,0.16300078,0.4142136
104,0.16217966,0.4089195
105,0.16230915,0.38914353
106,0.18087044,0.38261706
107,0.24026601,0.3703557
108,0.24131447,0.3817017
109,0.23953372,0.38231984
110,0.24635513,0.3701262
111,0.18843588,0.44033632
112,0.17182107,0.44103032
113,0.19375315,0.3945976
114,0.18782774,0.39520782
115,0.18949942,0.39942023
116,0.20320939,0.40055627
117,0.19788805,0.39979246
118,0.19376805,0.39822078
119,0.19262499,0.41067198
120,0.20226772,0.39464304
121,0.18170512,0.39872167
122,0.1819512,0.4493024
123,0.18403447,0.45415145
124,0.2511619,0.4549832
125,0.17849113,0.45246097
126,0.16618834,0.4553619
127,0.14761017,0.44282266
128,0.13012345,0.44037947
129,0.10048443,0.45257193
130,0.09433877,0.4495527
131,0.15463318,0.4012397
132,0.16673493,0.4834742
133,0.15922213,0.38384655
134,0.12501915,0.47820488
135,0.19606595,0.4121224
136,0.1641339,0.39432883
137,0.1736438,0.40996134
138,0.11396512,0.45054755
139,0.14347126,0.41316506
140,0.16917211,0.41325504
